Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify the Login of Site,Chrome 115.0.0.0,,,2023-08-21 17:57:06,2023-08-21 17:58:31,"1m - 24,846s",PASSED
,,,,,,,
Test Cases/Verify the Login of Site-N1,Chrome 115.0.0.0,,login,2023-08-21 17:57:07,2023-08-21 17:57:22,"15,717s",PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-21 17:57:07,2023-08-21 17:57:09,"2,382s",PASSED
navigateToUrl(urlLoginPage),Chrome 115.0.0.0,,,2023-08-21 17:57:09,2023-08-21 17:57:15,"5,582s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Username""), 5)",Chrome 115.0.0.0,,,2023-08-21 17:57:15,2023-08-21 17:57:16,"0,953s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Username""))",Chrome 115.0.0.0,,,2023-08-21 17:57:16,2023-08-21 17:57:16,"0,422s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Password""), 5)",Chrome 115.0.0.0,,,2023-08-21 17:57:16,2023-08-21 17:57:16,"0,328s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Password""))",Chrome 115.0.0.0,,,2023-08-21 17:57:16,2023-08-21 17:57:17,"0,383s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/btn_Login""), 5)",Chrome 115.0.0.0,,,2023-08-21 17:57:17,2023-08-21 17:57:17,"0,336s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:17,2023-08-21 17:57:17,"0,348s",PASSED
"verifyElementClickable(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:17,2023-08-21 17:57:18,"0,350s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/inp_Username""), username_valid)",Chrome 115.0.0.0,"invalid senario 1: valid username, invalid password.",,2023-08-21 17:57:18,2023-08-21 17:57:19,"0,741s",PASSED
"setText(findTestObject(""Page_OrangeHRM/inp_Password""), password_invalid)",Chrome 115.0.0.0,,,2023-08-21 17:57:19,2023-08-21 17:57:19,"0,688s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:19,2023-08-21 17:57:20,"0,402s",PASSED
try,Chrome 115.0.0.0,,,2023-08-21 17:57:20,2023-08-21 17:57:21,"1,765s",PASSED
